date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:44	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1515053073-ssl-df	https://besibaja-dis.netlify.app/robots.txt		(from )
14:28:44	19579/19579	---MCZ	200	added ('OK')	text/html	etag:%22ec4b484c94e31444e1a50bdfcf778cfe-ssl-df%22	https://besibaja-dis.netlify.app/	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/index.html	(from )
14:28:45	2045/2045	---M--	200	added ('OK')	image/png	etag:%22a3437c5a231d554a46e8aa2fbe8f090b-ssl%22	https://besibaja-dis.netlify.app/images/logo-dis.png	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/images/logo-dis.png	(from https://besibaja-dis.netlify.app/)
14:28:45	121260/121260	---MCZ	200	added ('OK')	text/css	etag:%22c27881edf6742337ebcc196b84b48869-ssl-df%22	https://besibaja-dis.netlify.app/css/bootstrap.min.css	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/css/bootstrap.min.css	(from https://besibaja-dis.netlify.app/)
14:28:46	72922/72922	---MCZ	200	added ('OK')	text/css	etag:%22e901d1563122d76b1e511111a1f80b3b-ssl-df%22	https://besibaja-dis.netlify.app/css/animate.css	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/css/animate.css	(from https://besibaja-dis.netlify.app/)
14:28:46	27466/27466	---MCZ	200	added ('OK')	text/css	etag:%22a844bf1a091b5dc8394b8465e43db7aa-ssl-df%22	https://besibaja-dis.netlify.app/css/font-awesome.min.css	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/css/font-awesome.min.css	(from https://besibaja-dis.netlify.app/)
14:28:46	1743/1743	---M-Z	200	added ('OK')	text/css	etag:%22205be50ea79d1c15ec3576e36d9d9b94-ssl-df%22	https://besibaja-dis.netlify.app/css/owl.theme.css	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/css/owl.theme.css	(from https://besibaja-dis.netlify.app/)
14:28:47	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%22a57773924e26891c26d574fd83eafa2b-ssl-df%22	https://besibaja-dis.netlify.app/css/owl.carousel.css	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/css/owl.carousel.css	(from https://besibaja-dis.netlify.app/)
14:28:47	14059/14059	---MCZ	200	added ('OK')	text/css	etag:%22355aaeaa4d39b960f6d1e6b0261c0bd2-ssl-df%22	https://besibaja-dis.netlify.app/css/style.css	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/css/style.css	(from https://besibaja-dis.netlify.app/)
14:28:48	253140/253140	---M--	200	added ('OK')	image/jpeg	etag:%22fe0817159ffaea6754a52b8dfc011665-ssl%22	https://besibaja-dis.netlify.app/images/1024px-HK_Central_Piers_construction_site_building_material_steel.jpg	C:/My%20Web%20Sites/besibaja-dis.netlify.app/besibaja-dis.netlify.app/images/1024px-HK_Central_Piers_construction_site_building_material_steel.jpg	(from https://besibaja-dis.netlify.app/)
